Subject,Song_ID,Enjoyment,Familiarity
1,1,2,2
1,2,3,2
1,3,3,3
1,4,2,2
1,5,2,2
1,6,3,3
1,7,3,3
1,8,2,2
1,9,1,3
1,10,2,3
1,11,1,3
1,12,2,2
2,1,3,4
2,2,3,4
2,3,2,4
2,4,2,5
2,5,3,4
2,6,4,3
2,7,2,4
2,8,2,2
2,9,2,3
2,10,2,4
2,11,1,4
2,12,3,4
3,1,4,4
3,2,2,2
3,3,4,2
3,4,3,3
3,5,4,4
3,6,3,4
3,7,2,3
3,8,2,2
3,9,3,2
3,10,2,3
3,11,2,4
3,12,4,3
4,1,4,4
4,2,1,2
4,3,1,2
4,4,5,4
4,5,3,2
4,6,3,3
4,7,2,2
4,8,1,1
4,9,1,1
4,10,4,4
4,11,1,1
4,12,1,2
5,1,2,5
5,2,3,5
5,3,3,5
5,4,2,5
5,5,4,4
5,6,2,5
5,7,3,4
5,8,2,4
5,9,2,5
5,10,2,5
5,11,4,4
5,12,4,4
6,1,2,4
6,2,2,1
6,3,2,4
6,4,2,4
6,5,2,4
6,6,2,4
6,7,3,4
6,8,3,4
6,9,3,2
6,10,2,4
6,11,2,4
6,12,2,4
7,1,2,3
7,2,1,1
7,3,1,2
7,4,1,1
7,5,1,1
7,6,1,1
7,7,2,4
7,8,3,4
7,9,4,5
7,10,3,5
7,11,3,4
7,12,2,4
8,1,3,5
8,2,2,1
8,3,2,4
8,4,3,4
8,5,4,4
8,6,3,3
8,7,3,3
8,8,4,3
8,9,5,2
8,10,1,5
8,11,2,4
8,12,1,2
9,1,3,5
9,2,4,3
9,3,3,4
9,4,4,4
9,5,2,5
9,6,3,5
9,7,1,2
9,8,3,1
9,9,2,2
9,10,3,4
9,11,3,3
9,12,2,4
10,1,3,4
10,2,3,4
10,3,4,3
10,4,3,4
10,5,3,3
10,6,2,4
10,7,2,2
10,8,4,4
10,9,4,5
10,10,2,2
10,11,2,3
10,12,4,3
11,1,2,3
11,2,2,3
11,3,3,4
11,4,4,4
11,5,3,4
11,6,2,4
11,7,1,3
11,8,1,1
11,9,1,4
11,10,3,4
11,11,3,3
11,12,2,3
12,1,3,3
12,2,4,5
12,3,5,5
12,4,2,5
12,5,4,5
12,6,5,5
12,7,1,2
12,8,5,5
12,9,5,5
12,10,3,5
12,11,2,2
12,12,4,4
13,1,3,5
13,2,4,5
13,3,4,5
13,4,3,5
13,5,1,4
13,6,4,5
13,7,2,3
13,8,2,3
13,9,4,5
13,10,3,5
13,11,3,4
13,12,4,5
14,1,2,4
14,2,4,5
14,3,4,5
14,4,3,5
14,5,4,5
14,6,2,5
14,7,1,1
14,8,5,3
14,9,4,5
14,10,3,5
14,11,4,5
14,12,2,5
15,1,2,4
15,2,4,4
15,3,5,5
15,4,3,3
15,5,2,4
15,6,2,4
15,7,3,2
15,8,5,4
15,9,4,4
15,10,2,3
15,11,3,3
15,12,2,2
16,1,2,2
16,2,4,4
16,3,3,4
16,4,3,3
16,5,4,4
16,6,5,5
16,7,3,2
16,8,1,1
16,9,3,3
16,10,5,5
16,11,4,4
16,12,5,5
